# l	P(l)/(4*pi*l^2)
2.005 0.00113481
2.015 0.00113481
2.025 0.00113481
2.035 0.00113481
2.045 0.00113481
2.055 0.00113481
2.065 0.00113481
2.075 0.00113481
2.085 0.00113481
2.095 0.00113481
2.105 0.00113481
2.115 0.00113481
2.125 0.00113481
2.135 0.00113481
2.145 0.00113481
2.155 0.00113481
2.165 0.00113481
2.175 0.00113481
2.185 0.00113481
2.195 0.00113481
2.205 0.00113481
2.215 0.00113481
2.225 0.00113481
2.235 0.00113481
2.245 0.00113481
2.255 0.00113481
2.265 0.00113481
2.275 0.00113481
2.285 0.00113481
2.295 0.00113481
2.305 0.00113481
2.315 0.00113481
2.325 0.00113481
2.335 0.00113481
2.345 0.00113481
2.355 0.00113481
2.365 0.00113481
2.375 0.00113481
2.385 0.00113481
2.395 0.00113481
2.405 0.00113481
2.415 0.00113481
2.425 0.00113481
2.435 0.00113481
2.445 0.00113481
2.455 0.00113481
2.465 0.00113481
2.475 0.00113481
2.485 0.00113481
2.495 0.00113481
2.505 0.00113481
2.515 0.00113481
2.525 0.00113481
2.535 0.00113481
2.545 0.00113481
2.555 0.00113481
2.565 0.00113481
2.575 0.00113481
2.585 0.00113481
2.595 0.00113481
2.605 0.00113481
2.615 0.00113481
2.625 0.00113481
2.635 0.00113481
2.645 0.00113481
2.655 0.00113481
2.665 0.00113481
2.675 0.00113481
2.685 0.00113481
2.695 0.00113481
2.705 0.00113481
2.715 0.00113481
2.725 0.00113481
2.735 0.00113481
2.745 0.00113481
2.755 0.00113481
2.765 0.00113481
2.775 0.00113481
2.785 0.00113481
2.795 0.00113481
2.805 0.00113481
2.815 0.00113481
2.825 0.00113481
2.835 0.00113481
2.845 0.00113481
2.855 0.00113481
2.865 0.00113481
2.875 0.00113481
2.885 0.00113481
2.895 0.00113481
2.905 0.00113481
2.915 0.00113481
2.925 0.00113481
2.935 0.00113481
2.945 0.00113481
2.955 0.00113481
2.965 0.00113481
2.975 0.00113481
2.985 0.00113481
2.995 0.00113481
3.005 0.00113481
3.015 0.00128823
3.025 0.00113481
3.035 0.00113481
3.045 0.00113481
3.055 0.00113481
3.065 0.00113481
3.075 0.00113481
3.085 0.0018896
3.095 0.00191749
3.105 0.00113481
3.115 0.00114732
3.125 0.00113481
3.135 0.00113481
3.145 0.00113701
3.155 0.00113738
3.165 0.00113481
3.175 0.00277273
3.185 0.00304882
3.195 0.00337936
3.205 0.00375448
3.215 0.00416112
3.225 0.00458621
3.235 0.00501903
3.245 0.00545807
3.255 0.00590417
3.265 0.00635817
3.275 0.00682089
3.285 0.00729316
3.295 0.00777581
3.305 0.00827209
3.315 0.00879492
3.325 0.00935962
3.335 0.00998153
3.345 0.010676
3.355 0.0114583
3.365 0.0123438
3.375 0.0133479
3.385 0.0144858
3.395 0.0157729
3.405 0.0172245
3.415 0.018856
3.425 0.0206827
3.435 0.02272
3.445 0.0249786
3.455 0.0274515
3.465 0.0301274
3.475 0.0329946
3.485 0.0360418
3.495 0.0392573
3.505 0.0426298
3.515 0.0461477
3.525 0.0497996
3.535 0.0535739
3.545 0.0574593
3.555 0.0614441
3.565 0.0655169
3.575 0.0696662
3.585 0.0738806
3.595 0.078153
3.605 0.0824944
3.615 0.0869201
3.625 0.0914458
3.635 0.0960867
3.645 0.100858
3.655 0.105776
3.665 0.110856
3.675 0.116112
3.685 0.121561
3.695 0.127218
3.705 0.133098
3.715 0.139217
3.725 0.14559
3.735 0.15223
3.745 0.159137
3.755 0.166308
3.765 0.17374
3.775 0.18143
3.785 0.189376
3.795 0.197574
3.805 0.206022
3.815 0.214717
3.825 0.223656
3.835 0.232836
3.845 0.242255
3.855 0.251909
3.865 0.261797
3.875 0.271914
3.885 0.282258
3.895 0.292826
3.905 0.303616
3.915 0.314624
3.925 0.325848
3.935 0.337285
3.945 0.348931
3.955 0.360785
3.965 0.372844
3.975 0.385103
3.985 0.397562
3.995 0.410216
4.005 0.423063
4.015 0.4361
4.025 0.449325
4.035 0.462734
4.045 0.476325
4.055 0.490094
4.065 0.50404
4.075 0.518158
4.085 0.532447
4.095 0.546903
4.105 0.561523
4.115 0.576306
4.125 0.591247
4.135 0.606344
4.145 0.621595
4.155 0.636996
4.165 0.652544
4.175 0.668237
4.185 0.684072
4.195 0.700046
4.205 0.716156
4.215 0.732399
4.225 0.748773
4.235 0.765274
4.245 0.7819
4.255 0.798648
4.265 0.815516
4.275 0.832499
4.285 0.849596
4.295 0.866803
4.305 0.884119
4.315 0.901524
4.325 0.918942
4.335 0.936281
4.345 0.953448
4.355 0.970351
4.365 0.986898
4.375 1.003
4.385 1.01856
4.395 1.03348
4.405 1.04769
4.415 1.06107
4.425 1.07355
4.435 1.08502
4.445 1.09541
4.455 1.1046
4.465 1.11254
4.475 1.11923
4.485 1.12469
4.495 1.12896
4.505 1.13205
4.515 1.13399
4.525 1.13481
4.535 1.13453
4.545 1.13319
4.555 1.1308
4.565 1.12739
4.575 1.12299
4.585 1.11763
4.595 1.11132
4.605 1.10411
4.615 1.09601
4.625 1.08706
4.635 1.0773
4.645 1.06676
4.655 1.05546
4.665 1.04345
4.675 1.03076
4.685 1.01741
4.695 1.00345
4.705 0.988903
4.715 0.973802
4.725 0.958181
4.735 0.942074
4.745 0.925513
4.755 0.908531
4.765 0.891161
4.775 0.873436
4.785 0.855388
4.795 0.83705
4.805 0.818456
4.815 0.799639
4.825 0.78063
4.835 0.761463
4.845 0.742171
4.855 0.722786
4.865 0.703342
4.875 0.683872
4.885 0.664407
4.895 0.644978
4.905 0.625602
4.915 0.606291
4.925 0.587059
4.935 0.567919
4.945 0.548884
4.955 0.529968
4.965 0.511183
4.975 0.492544
4.985 0.474063
4.995 0.455753
5.005 0.437628
5.015 0.4197
5.025 0.401984
5.035 0.384493
5.045 0.367239
5.055 0.350236
5.065 0.333497
5.075 0.317035
5.085 0.300864
5.095 0.284997
5.105 0.269447
5.115 0.254227
5.125 0.239351
5.135 0.224832
5.145 0.210683
5.155 0.196917
5.165 0.183547
5.175 0.170588
5.185 0.158051
5.195 0.145949
5.205 0.134293
5.215 0.123094
5.225 0.112366
5.235 0.102118
5.245 0.0923633
5.255 0.0831128
5.265 0.0743782
5.275 0.0661712
5.285 0.0585034
5.295 0.0513864
5.305 0.0448318
5.315 0.0388512
5.325 0.0334563
5.335 0.0286488
5.345 0.024391
5.355 0.0206352
5.365 0.017334
5.375 0.0144396
5.385 0.0119046
5.395 0.00968121
5.405 0.0077286
5.415 0.00603216
5.425 0.00458394
5.435 0.003376
5.445 0.0024004
5.455 0.00164917
5.465 0.00113481
5.475 0.00113481
5.485 0.00113481
5.495 0.00113481
5.505 0.00113481
5.515 0.00113481
5.525 0.00113481
5.535 0.00113481
5.545 0.00113481
5.555 0.00113481
5.565 0.00113481
5.575 0.00113481
5.585 0.00113481
5.595 0.00113481
5.605 0.00113481
5.615 0.00113481
5.625 0.00113481
5.635 0.00113481
5.645 0.00113481
5.655 0.00113481
5.665 0.00113481
5.675 0.00113481
5.685 0.00113481
5.695 0.00113481
5.705 0.00113481
5.715 0.00113481
5.725 0.00113481
5.735 0.00113481
5.745 0.00113481
5.755 0.00113481
5.765 0.00113481
