# theta	P(theta)
-179.5 0.00280167
-178.5 0.00285379
-177.5 0.00288268
-176.5 0.00289594
-175.5 0.00290051
-174.5 0.00290057
-173.5 0.00289966
-172.5 0.00290055
-171.5 0.00290306
-170.5 0.00290625
-169.5 0.0029092
-168.5 0.00291099
-167.5 0.00291068
-166.5 0.0029084
-165.5 0.00290848
-164.5 0.0029163
-163.5 0.00293533
-162.5 0.00296131
-161.5 0.00298806
-160.5 0.00301028
-159.5 0.00302609
-158.5 0.00303447
-157.5 0.00303442
-156.5 0.00302492
-155.5 0.00300678
-154.5 0.00298818
-153.5 0.00297908
-152.5 0.00298597
-151.5 0.00300124
-150.5 0.00301378
-149.5 0.00301507
-148.5 0.00300701
-147.5 0.0029941
-146.5 0.00298084
-145.5 0.00297174
-144.5 0.00297016
-143.5 0.00297491
-142.5 0.00298366
-141.5 0.00299409
-140.5 0.00300387
-139.5 0.00301067
-138.5 0.00301265
-137.5 0.00300993
-136.5 0.00300312
-135.5 0.00299283
-134.5 0.00297965
-133.5 0.00296435
-132.5 0.00294826
-131.5 0.00293289
-130.5 0.00291982
-129.5 0.00291109
-128.5 0.00290884
-127.5 0.00291381
-126.5 0.00292106
-125.5 0.00292427
-124.5 0.00291881
-123.5 0.00290699
-122.5 0.00289267
-121.5 0.00287851
-120.5 0.00286507
-119.5 0.0028524
-118.5 0.00284085
-117.5 0.00283205
-116.5 0.00282795
-115.5 0.00282974
-114.5 0.00283573
-113.5 0.00284346
-112.5 0.00285049
-111.5 0.00285438
-110.5 0.00285325
-109.5 0.00284753
-108.5 0.00283823
-107.5 0.00282634
-106.5 0.00281287
-105.5 0.00279881
-104.5 0.00278518
-103.5 0.00277297
-102.5 0.00276317
-101.5 0.00275681
-100.5 0.00275487
-99.5 0.00275731
-98.5 0.00275995
-97.5 0.00275754
-96.5 0.00274669
-95.5 0.00273136
-94.5 0.00271737
-93.5 0.00270927
-92.5 0.00270668
-91.5 0.00270799
-90.5 0.00271156
-89.5 0.00271578
-88.5 0.00271928
-87.5 0.00272166
-86.5 0.00272281
-85.5 0.00272258
-84.5 0.00272085
-83.5 0.00271748
-82.5 0.00271284
-81.5 0.00270923
-80.5 0.00270944
-79.5 0.00271627
-78.5 0.00273251
-77.5 0.00276097
-76.5 0.00280092
-75.5 0.00283758
-74.5 0.00285266
-73.5 0.00283384
-72.5 0.00279278
-71.5 0.00274713
-70.5 0.00271212
-69.5 0.00269336
-68.5 0.00269403
-67.5 0.0027139
-66.5 0.00273905
-65.5 0.00275576
-64.5 0.00276486
-63.5 0.00277086
-62.5 0.00277732
-61.5 0.00278412
-60.5 0.00279021
-59.5 0.00279444
-58.5 0.00279512
-57.5 0.00279042
-56.5 0.00278005
-55.5 0.0027698
-54.5 0.00276546
-53.5 0.00276678
-52.5 0.00277199
-51.5 0.00277933
-50.5 0.00278703
-49.5 0.00279333
-48.5 0.00279689
-47.5 0.00279804
-46.5 0.00279756
-45.5 0.00279621
-44.5 0.00279477
-43.5 0.00279368
-42.5 0.00279217
-41.5 0.00278913
-40.5 0.00278346
-39.5 0.00277406
-38.5 0.00275983
-37.5 0.00274113
-36.5 0.00272413
-35.5 0.00271646
-34.5 0.00272318
-33.5 0.00273905
-32.5 0.00275626
-31.5 0.00276841
-30.5 0.00277464
-29.5 0.0027755
-28.5 0.00277153
-27.5 0.00276328
-26.5 0.00275129
-25.5 0.00273629
-24.5 0.00271966
-23.5 0.00270299
-22.5 0.00268785
-21.5 0.0026758
-20.5 0.00266801
-19.5 0.00266399
-18.5 0.00266283
-17.5 0.00266363
-16.5 0.00266549
-15.5 0.0026675
-14.5 0.00266876
-13.5 0.00266836
