# r	rdf(r)
0.015 0.00100485
0.045 0.00100485
0.075 0.00100485
0.105 0.00100485
0.135 0.00100485
0.165 0.00100485
0.195 0.00100485
0.225 0.00100485
0.255 0.00100485
0.285 0.00100485
0.315 0.00100485
0.345 0.00100485
0.375 0.00100485
0.405 0.00100485
0.435 0.00100485
0.465 0.00100485
0.495 0.00100485
0.525 0.00100485
0.555 0.00100485
0.585 0.00100485
0.615 0.00100485
0.645 0.00100485
0.675 0.00100485
0.705 0.00100485
0.735 0.00100485
0.765 0.00100485
0.795 0.00100485
0.825 0.00100485
0.855 0.00100485
0.885 0.00100485
0.915 0.00100485
0.945 0.00100485
0.975 0.00100485
1.005 0.00100485
1.035 0.00100485
1.065 0.00100485
1.095 0.00100485
1.125 0.00100485
1.155 0.00100485
1.185 0.00100485
1.215 0.00100485
1.245 0.00100485
1.275 0.00100485
1.305 0.00100485
1.335 0.00100485
1.365 0.00100485
1.395 0.00100485
1.425 0.00100485
1.455 0.00100485
1.485 0.00100485
1.515 0.00100485
1.545 0.00100485
1.575 0.00100485
1.605 0.00100485
1.635 0.00100485
1.665 0.00100485
1.695 0.00100485
1.725 0.00100485
1.755 0.00100485
1.785 0.00100485
1.815 0.00100485
1.845 0.00100485
1.875 0.00100485
1.905 0.00100485
1.935 0.00100485
1.965 0.00100485
1.995 0.00100485
2.025 0.00100485
2.055 0.00100485
2.085 0.00100485
2.115 0.00100485
2.145 0.00100485
2.175 0.00100485
2.205 0.00100485
2.235 0.00100485
2.265 0.00100485
2.295 0.00100485
2.325 0.00100485
2.355 0.00100485
2.385 0.00100485
2.415 0.00100485
2.445 0.00100485
2.475 0.00100485
2.505 0.00100485
2.535 0.00100485
2.565 0.00100485
2.595 0.00100485
2.625 0.00100485
2.655 0.00100485
2.685 0.00100485
2.715 0.00100485
2.745 0.00100485
2.775 0.00100485
2.805 0.00100485
2.835 0.00100485
2.865 0.00100485
2.895 0.00100485
2.925 0.00100485
2.955 0.00100485
2.985 0.00100485
3.015 0.00100485
3.045 0.00100485
3.075 0.00100485
3.105 0.00100485
3.135 0.00100485
3.165 0.00100485
3.195 0.00100485
3.225 0.00100485
3.255 0.00100485
3.285 0.00100485
3.315 0.00100485
3.345 0.00100485
3.375 0.00100485
3.405 0.00100485
3.435 0.00100485
3.465 0.00100485
3.495 0.00100485
3.525 0.00100485
3.555 0.00100485
3.585 0.00100485
3.615 0.00100485
3.645 0.00100485
3.675 0.00104411
3.705 0.00100485
3.735 0.00170586
3.765 0.0013141
3.795 0.00227985
3.825 0.00296984
3.855 0.00390342
3.885 0.00547174
3.915 0.00738602
3.945 0.0082974
3.975 0.00924732
4.005 0.0115274
4.035 0.0145973
4.065 0.0176439
4.095 0.0205935
4.125 0.0235577
4.155 0.0266299
4.185 0.0298315
4.215 0.0331661
4.245 0.0366372
4.275 0.0402483
4.305 0.044003
4.335 0.0479047
4.365 0.0519569
4.395 0.0561632
4.425 0.0605271
4.455 0.0650521
4.485 0.0697417
4.515 0.0745994
4.545 0.0796287
4.575 0.0848333
4.605 0.090218
4.635 0.0957875
4.665 0.101547
4.695 0.1075
4.725 0.113653
4.755 0.12001
4.785 0.126577
4.815 0.133357
4.845 0.140355
4.875 0.147578
4.905 0.155028
4.935 0.162712
4.965 0.170634
4.995 0.178794
5.025 0.187167
5.055 0.195726
5.085 0.20444
5.115 0.213283
5.145 0.222224
5.175 0.231234
5.205 0.240286
5.235 0.24935
5.265 0.258396
5.295 0.267397
5.325 0.276324
5.355 0.285147
5.385 0.293842
5.415 0.302403
5.445 0.310826
5.475 0.31911
5.505 0.327251
5.535 0.335248
5.565 0.343098
5.595 0.350798
5.625 0.358346
5.655 0.365739
5.685 0.372975
5.715 0.380052
5.745 0.386967
5.775 0.393717
5.805 0.400301
5.835 0.406715
5.865 0.412957
5.895 0.419024
5.925 0.424915
5.955 0.430627
5.985 0.436156
6.015 0.441502
6.045 0.44666
6.075 0.45163
6.105 0.456407
6.135 0.460991
6.165 0.465377
6.195 0.469565
6.225 0.473553
6.255 0.477348
6.285 0.480959
6.315 0.484394
6.345 0.487663
6.375 0.490775
6.405 0.493737
6.435 0.496559
6.465 0.499249
6.495 0.501817
6.525 0.504271
6.555 0.50662
6.585 0.508872
6.615 0.511037
6.645 0.513123
6.675 0.515139
6.705 0.517094
6.735 0.518996
6.765 0.520854
6.795 0.522678
6.825 0.524475
6.855 0.526255
6.885 0.528026
6.915 0.529797
6.945 0.531577
6.975 0.533375
7.005 0.535199
7.035 0.537058
7.065 0.538955
7.095 0.540894
7.125 0.542878
7.155 0.544911
7.185 0.546996
7.215 0.549136
7.245 0.551335
7.275 0.553596
7.305 0.555922
7.335 0.558317
7.365 0.560785
7.395 0.563327
7.425 0.565949
7.455 0.568653
7.485 0.571442
7.515 0.574321
7.545 0.577291
7.575 0.580357
7.605 0.583523
7.635 0.58679
7.665 0.590163
7.695 0.593646
7.725 0.597241
7.755 0.600951
7.785 0.604781
7.815 0.608733
7.845 0.612811
7.875 0.617016
7.905 0.621341
7.935 0.625775
7.965 0.63031
7.995 0.634935
8.025 0.639641
8.055 0.644419
8.085 0.649258
8.115 0.654149
8.145 0.659082
8.175 0.664048
8.205 0.669036
8.235 0.674039
8.265 0.679044
8.295 0.684044
8.325 0.689028
8.355 0.693986
8.385 0.69891
8.415 0.703789
8.445 0.708613
8.475 0.713374
8.505 0.718061
8.535 0.722665
8.565 0.727175
8.595 0.731583
8.625 0.735879
8.655 0.740053
8.685 0.744097
8.715 0.748012
8.745 0.7518
8.775 0.755464
8.805 0.759006
8.835 0.762429
8.865 0.765735
8.895 0.768926
8.925 0.772006
8.955 0.774976
8.985 0.777839
9.015 0.780597
9.045 0.783253
9.075 0.78581
9.105 0.788269
9.135 0.790633
9.165 0.792905
9.195 0.795088
9.225 0.797182
9.255 0.799192
9.285 0.801119
9.315 0.802966
9.345 0.804736
9.375 0.80643
9.405 0.808052
9.435 0.809604
9.465 0.811087
9.495 0.812506
9.525 0.813861
9.555 0.815156
9.585 0.816393
9.615 0.817575
9.645 0.818703
9.675 0.819781
9.705 0.820811
9.735 0.821795
9.765 0.822735
9.795 0.823635
9.825 0.824497
9.855 0.825323
9.885 0.826115
9.915 0.826876
9.945 0.827609
9.975 0.828316
10.005 0.828999
10.035 0.829661
10.065 0.830305
10.095 0.830932
10.125 0.831545
10.155 0.832147
10.185 0.83274
10.215 0.833327
10.245 0.83391
10.275 0.834491
10.305 0.835072
10.335 0.835655
10.365 0.836239
10.395 0.836823
10.425 0.837409
10.455 0.837995
10.485 0.838582
10.515 0.83917
10.545 0.839758
10.575 0.840348
10.605 0.840938
10.635 0.841529
10.665 0.842121
10.695 0.842713
10.725 0.843307
10.755 0.8439
10.785 0.844495
10.815 0.84509
10.845 0.845686
10.875 0.846283
10.905 0.84688
10.935 0.847477
10.965 0.848075
10.995 0.848674
11.025 0.849274
11.055 0.849873
11.085 0.850474
11.115 0.851075
11.145 0.851676
11.175 0.852278
11.205 0.85288
11.235 0.853483
11.265 0.854086
11.295 0.854689
11.325 0.855293
11.355 0.855897
11.385 0.856501
11.415 0.857106
11.445 0.857711
11.475 0.858317
11.505 0.858922
11.535 0.859528
11.565 0.860134
11.595 0.860741
11.625 0.861347
11.655 0.861954
11.685 0.862561
11.715 0.863168
11.745 0.863775
11.775 0.864382
11.805 0.864989
11.835 0.865597
11.865 0.866204
11.895 0.866812
11.925 0.86742
11.955 0.868027
11.985 0.868635
12.015 0.869242
12.045 0.86985
12.075 0.870457
12.105 0.871065
12.135 0.871672
12.165 0.872279
